id;name;active;created_date;created_by;modified_date;modified_by
1;defiantly;false;2024-08-06T16:21:46;till;2024-08-06T04:43:49;now
2;or;false;2024-08-06T12:20:17;without;2024-08-06T13:28:27;lick hm
3;repatriate;false;2024-08-06T15:20:47;delirious since;2024-08-06T01:03:21;enthusiastically wherever
4;pronounce complicated upwardly;true;2024-08-07T00:17:26;dreamily;2024-08-06T02:09:49;lively methane
5;aha;false;2024-08-06T10:44:01;sinuosity energetically blog;2024-08-06T15:01:41;cicada wrench
6;installation;false;2024-08-06T08:38:06;characterise;2024-08-06T17:51:57;gosh
7;abandoned mod;true;2024-08-06T02:42:47;complete gadzooks;2024-08-06T10:07:00;revitalisation inasmuch magic
8;yowza;true;2024-08-06T03:23:01;psst unhinge;2024-08-07T00:20:45;wavy posset meanwhile
9;respectful righteously;false;2024-08-06T15:37:10;madly eek before;2024-08-06T22:19:16;kaleidoscopic
10;considering;true;2024-08-06T09:11:52;gah;2024-08-06T08:17:20;loyally bleakly commonly
